feature,mean_abs_shap_highurgent
categorical__marker_internacao_previa_temporality_nao_especificado,0.002294359765926917
numeric__marker_internacao_previa_present,0.0022775394810674717
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.002268869052606727
categorical__marker_autoagressao_iminente_temporality_atual,0.002000548202186303
numeric__marker_agravamento_recente_severity_code,0.0019021676423198128
categorical__marker_internacao_previa_severity_ausente,0.0018078226290403959
numeric__marker_uso_problematico_substancias_severity_code,0.0016066984554850177
categorical__marker_internacao_previa_temporality_remoto,0.0015949728931749065
categorical__marker_internacao_previa_severity_nao_especificado,0.0014631176375711006
categorical__marker_suporte_social_baixo_severity_leve,0.0013334541860346332
categorical__marker_uso_problematico_substancias_severity_moderado,0.0012722335088186118
numeric__marker_risco_violencia_remote_present,0.0010652424687970104
categorical__marker_suporte_social_baixo_severity_importante,0.0009382565778131572
categorical__marker_ideacao_suicida_severity_moderado,0.0008187618082247903
categorical__marker_risco_violencia_temporality_remoto,0.000706528538903018
categorical__marker_autoagressao_iminente_severity_ausente,0.0006700131612867847
numeric__marker_ideacao_suicida_severity_code,0.0006675195341083768
categorical__marker_comprometimento_funcional_severity_nao_especificado,0.0006196942349378489
categorical__marker_internacao_previa_severity_leve,0.0005647260732093212
numeric__marker_internacao_previa_severity_code,0.00044809950524579744
numeric__marker_sintomas_psicoticos_severity_code,0.00030964245843985157
categorical__marker_suporte_social_baixo_severity_moderado,0.0002805576910810136
categorical__marker_sintomas_psicoticos_severity_moderado,0.00018671801519070318
categorical__gender_category_outro_ou_nao_informado,0.00016164613236445156
categorical__marker_sintomas_psicoticos_experiencer_paciente,0.0001412305043271358
numeric__marker_autoagressao_iminente_present,0.00013681555849532584
numeric__marker_autoagressao_iminente_severity_code,0.0001363941882240268
categorical__marker_sintomas_psicoticos_severity_alto,0.0001219866468649395
categorical__marker_agravamento_recente_severity_importante,8.674308782104967e-05
categorical__marker_sintomas_psicoticos_certainty_incerto,6.035458773236045e-05
categorical__marker_autoagressao_iminente_severity_alto,5.5361902151435134e-05
categorical__marker_sintomas_psicoticos_certainty_afirmado,4.638065780161983e-05
categorical__marker_sintomas_psicoticos_experiencer_terceiro,3.227161600745574e-05
categorical__marker_uso_problematico_substancias_temporality_remoto,2.379799912340714e-05
numeric__marker_suporte_social_baixo_remote_present,0.0
categorical__marker_ideacao_suicida_experiencer_paciente,0.0
categorical__marker_ideacao_suicida_certainty_afirmado,0.0
numeric__marker_autoagressao_iminente_remote_present,0.0
numeric__marker_planejamento_suicida_severity_code,0.0
numeric__marker_planejamento_suicida_remote_present,0.0
numeric__marker_ideacao_suicida_remote_present,0.0
numeric__marker_sintomas_psicoticos_remote_present,0.0
numeric__marker_agravamento_recente_remote_present,0.0
numeric__marker_comprometimento_funcional_remote_present,0.0
numeric__marker_uso_problematico_substancias_remote_present,0.0
categorical__marker_planejamento_suicida_experiencer_paciente,0.0
categorical__marker_planejamento_suicida_certainty_afirmado,0.0
categorical__marker_uso_problematico_substancias_experiencer_paciente,0.0
categorical__marker_uso_problematico_substancias_certainty_afirmado,0.0
categorical__marker_autoagressao_iminente_experiencer_paciente,0.0
categorical__marker_autoagressao_iminente_certainty_afirmado,0.0
categorical__marker_risco_violencia_certainty_afirmado,0.0
categorical__marker_risco_violencia_experiencer_paciente,0.0
categorical__marker_agravamento_recente_certainty_afirmado,0.0
categorical__marker_agravamento_recente_experiencer_paciente,0.0
categorical__marker_internacao_previa_experiencer_paciente,0.0
categorical__marker_internacao_previa_certainty_afirmado,0.0
categorical__marker_suporte_social_baixo_experiencer_paciente,0.0
categorical__marker_suporte_social_baixo_certainty_afirmado,0.0
categorical__marker_comprometimento_funcional_certainty_afirmado,0.0
categorical__marker_comprometimento_funcional_experiencer_paciente,0.0
