feature,mean_abs_shap_highurgent
categorical__marker_uso_problematico_substancias_severity_ausente,0.0072186426
categorical__marker_risco_violencia_temporality_atual,0.0071072704
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.006970663
numeric__marker_internacao_previa_present,0.0068459087
numeric__marker_ideacao_suicida_negated,0.005843225
categorical__marker_uso_problematico_substancias_temporality_atual,0.00564144
numeric__marker_suporte_social_baixo_negated,0.005426707
categorical__marker_uso_problematico_substancias_severity_moderado,0.004345453
categorical__marker_sintomas_psicoticos_temporality_atual,0.0037693016
categorical__marker_ideacao_suicida_temporality_nao_especificado,0.0036963462
numeric__marker_comprometimento_funcional_negated,0.0033126357
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.0032247568
categorical__marker_planejamento_suicida_temporality_atual,0.0027350984
numeric__mental_health_history,0.0023586764
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.0021312926
categorical__marker_agravamento_recente_severity_ausente,0.002126937
categorical__marker_internacao_previa_severity_ausente,0.0020279686
numeric__marker_agravamento_recente_severity_code,0.0019881018
categorical__marker_internacao_previa_severity_nao_especificado,0.0017971222
categorical__marker_comprometimento_funcional_severity_leve,0.0017805916
categorical__marker_risco_violencia_temporality_nao_especificado,0.001778975
categorical__marker_agravamento_recente_temporality_nao_especificado,0.0010576909
numeric__food_insecurity,0.0
numeric__poor_housing,0.0
categorical__marker_planejamento_suicida_certainty_afirmado,0.0
categorical__marker_planejamento_suicida_experiencer_paciente,0.0
categorical__marker_ideacao_suicida_severity_moderado,0.0
categorical__marker_ideacao_suicida_severity_nao_especificado,0.0
categorical__marker_ideacao_suicida_certainty_afirmado,0.0
categorical__education_superior,0.0
numeric__marker_suporte_social_baixo_remote_present,0.0
categorical__marker_ideacao_suicida_experiencer_paciente,0.0
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.0
categorical__education_medio,0.0
categorical__gender_category_outro_ou_nao_informado,0.0
numeric__marker_uso_problematico_substancias_remote_present,0.0
numeric__marker_internacao_previa_severity_code,0.0
numeric__marker_autoagressao_iminente_severity_code,0.0
numeric__marker_autoagressao_iminente_remote_present,0.0
numeric__marker_autoagressao_iminente_present,0.0
numeric__marker_risco_violencia_remote_present,0.0
numeric__marker_planejamento_suicida_remote_present,0.0
numeric__marker_ideacao_suicida_severity_code,0.0
numeric__marker_ideacao_suicida_remote_present,0.0
numeric__marker_planejamento_suicida_severity_code,0.0
numeric__marker_sintomas_psicoticos_severity_code,0.0
numeric__marker_sintomas_psicoticos_remote_present,0.0
numeric__marker_comprometimento_funcional_remote_present,0.0
numeric__marker_agravamento_recente_remote_present,0.0
numeric__marker_suporte_social_baixo_severity_code,0.0
categorical__marker_autoagressao_iminente_certainty_afirmado,0.0
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.0
categorical__marker_autoagressao_iminente_severity_alto,0.0
categorical__marker_uso_problematico_substancias_experiencer_paciente,0.0
categorical__marker_uso_problematico_substancias_certainty_afirmado,0.0
categorical__marker_uso_problematico_substancias_temporality_remoto,0.0
categorical__marker_sintomas_psicoticos_severity_moderado,0.0
categorical__marker_sintomas_psicoticos_certainty_afirmado,0.0
categorical__marker_sintomas_psicoticos_certainty_incerto,0.0
categorical__marker_sintomas_psicoticos_experiencer_paciente,0.0
categorical__marker_sintomas_psicoticos_experiencer_terceiro,0.0
categorical__marker_risco_violencia_temporality_remoto,0.0
categorical__marker_autoagressao_iminente_experiencer_paciente,0.0
categorical__marker_autoagressao_iminente_severity_ausente,0.0
categorical__marker_risco_violencia_severity_alto,0.0
categorical__marker_risco_violencia_certainty_afirmado,0.0
categorical__marker_risco_violencia_severity_nao_especificado,0.0
categorical__marker_risco_violencia_experiencer_paciente,0.0
categorical__marker_sintomas_psicoticos_severity_alto,0.0
categorical__marker_suporte_social_baixo_temporality_nao_especificado,0.0
categorical__marker_agravamento_recente_experiencer_paciente,0.0
categorical__marker_agravamento_recente_certainty_afirmado,0.0
categorical__marker_agravamento_recente_severity_moderado,0.0
categorical__marker_agravamento_recente_severity_importante,0.0
categorical__marker_internacao_previa_severity_leve,0.0
categorical__marker_internacao_previa_experiencer_paciente,0.0
categorical__marker_internacao_previa_certainty_afirmado,0.0
categorical__marker_suporte_social_baixo_experiencer_paciente,0.0
categorical__marker_suporte_social_baixo_certainty_afirmado,0.0
categorical__marker_suporte_social_baixo_severity_leve,0.0
categorical__marker_suporte_social_baixo_severity_moderado,0.0
categorical__marker_suporte_social_baixo_severity_importante,0.0
categorical__marker_comprometimento_funcional_severity_nao_especificado,0.0
categorical__marker_comprometimento_funcional_certainty_afirmado,0.0
categorical__marker_comprometimento_funcional_experiencer_paciente,0.0
