feature,mean_abs_shap_highurgent
numeric__marker_comprometimento_funcional_remote_present,0.0
categorical__gender_category_masculino,0.0
numeric__marker_suporte_social_baixo_remote_present,0.0
numeric__marker_comprometimento_funcional_negated,0.0
numeric__marker_uso_problematico_substancias_remote_present,0.0
numeric__marker_agravamento_recente_remote_present,0.0
numeric__marker_risco_violencia_remote_present,0.0
numeric__marker_sintomas_psicoticos_remote_present,0.0
numeric__marker_autoagressao_iminente_remote_present,0.0
numeric__poor_housing,0.0
numeric__marker_planejamento_suicida_remote_present,0.0
numeric__marker_autoagressao_iminente_present,0.0
numeric__marker_autoagressao_iminente_severity_code,0.0
categorical__marker_risco_violencia_certainty_afirmado,0.0
categorical__marker_autoagressao_iminente_certainty_afirmado,0.0
categorical__marker_risco_violencia_temporality_nao_especificado,0.0
categorical__marker_autoagressao_iminente_severity_alto,0.0
categorical__marker_autoagressao_iminente_temporality_nao_especificado,0.0
categorical__marker_autoagressao_iminente_temporality_atual,0.0
categorical__marker_autoagressao_iminente_severity_ausente,0.0
categorical__marker_planejamento_suicida_experiencer_paciente,0.0
categorical__marker_planejamento_suicida_temporality_nao_especificado,0.0
categorical__marker_planejamento_suicida_severity_ausente,0.0
categorical__marker_planejamento_suicida_certainty_afirmado,0.0
categorical__marker_uso_problematico_substancias_certainty_incerto,0.0
categorical__marker_uso_problematico_substancias_certainty_afirmado,0.0
categorical__marker_uso_problematico_substancias_severity_moderado,0.0
categorical__marker_uso_problematico_substancias_temporality_nao_especificado,0.0
categorical__marker_sintomas_psicoticos_experiencer_terceiro,0.0
categorical__marker_uso_problematico_substancias_temporality_atual,0.0
categorical__marker_sintomas_psicoticos_experiencer_paciente,0.0
categorical__marker_sintomas_psicoticos_certainty_incerto,0.0
categorical__marker_risco_violencia_experiencer_paciente,0.0
categorical__marker_sintomas_psicoticos_certainty_afirmado,0.0
categorical__marker_sintomas_psicoticos_severity_moderado,0.0
categorical__marker_sintomas_psicoticos_temporality_nao_especificado,0.0
categorical__marker_autoagressao_iminente_experiencer_paciente,0.0
categorical__marker_internacao_previa_severity_ausente,0.0
categorical__marker_uso_problematico_substancias_experiencer_terceiro,0.0
categorical__marker_internacao_previa_severity_leve,0.0
categorical__marker_agravamento_recente_experiencer_paciente,0.0
categorical__marker_agravamento_recente_certainty_afirmado,0.0
categorical__marker_agravamento_recente_severity_moderado,0.0
categorical__marker_agravamento_recente_severity_ausente,0.0
categorical__marker_internacao_previa_experiencer_paciente,0.0
categorical__marker_agravamento_recente_temporality_nao_especificado,0.0
categorical__marker_internacao_previa_certainty_afirmado,0.0
categorical__marker_internacao_previa_certainty_incerto,0.0
categorical__marker_uso_problematico_substancias_experiencer_paciente,0.0
categorical__marker_comprometimento_funcional_temporality_atual,0.0
categorical__marker_suporte_social_baixo_severity_ausente,0.0
categorical__marker_suporte_social_baixo_experiencer_paciente,0.0
categorical__marker_comprometimento_funcional_temporality_nao_especificado,0.0
categorical__marker_comprometimento_funcional_severity_ausente,0.0
categorical__marker_comprometimento_funcional_certainty_incerto,0.0
categorical__marker_comprometimento_funcional_experiencer_paciente,0.0
